key,ra,dec,name,host,confirmed_real,confirmed_dwarf,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,table
cena_dw1326-35,201.6833333333333,-35.083333333333336,dw1326-35,ngc_5128,0,0,0.17149999999999999,,,,,,,,,,Muller2015A&A...583A..79M,27.83,0.03,0.03,Tully2009AJ....138..323T,17.68,,,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,0.0165,0.0165,0.98,0.07,0.09,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,-10.149999999999999,,,6.293029995663981,3681.289736425313,50.50918872430293,51.21184153189324,311.0477580260154,27.23158303287007,-3253.3641998723588,1713.9561340702862,-172.8290397533108,3676.553196012329,4446.551009716512,4063.376222109842,509.55405888758787,,,,,,,,,,,,,183.64970775691754,,,183.64970775691754,,,24.740564368174315,dwarf_local_field_distant
cena_dw1326-37,201.59166666666664,-37.385555555555555,dw1326-37,ngc_5128,0,0,0.16999999999999998,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,18.1,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238,0.0195,0.0195,0.58,0.08,0.1,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-9.729999999999997,,,6.12502999566398,3681.289736425313,50.50918872430293,51.21184153189324,310.5785418460149,24.967034922386933,-3313.8589502015416,1587.860848681754,-221.20331575978256,3676.5060380870304,4449.142151314292,4064.7940451799905,361.8212286579756,,,,,,,,,,,,,182.04344209140518,,,182.04344209140518,,,25.141488353203115,dwarf_local_field_distant
cena_dw1329-32,202.49166666666665,-32.49611111111111,dw1329-32,ngc_5128,0,0,0.14716666666666667,,,,,,,,,,Muller2015A&A...583A..79M,27.83,0.03,0.03,Tully2009AJ....138..323T,16.2,,,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14716666666666667,0.0025,0.0025,1.41,0.04,0.04,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,-11.629999999999999,,,6.885029995663982,3681.289736425313,50.50918872430293,51.21184153189324,312.2797710590791,29.675326908900875,-3185.8553244795103,1842.712475812149,-81.4291500762653,3676.5482102617443,4441.413347451194,4060.5659730614766,677.3717217227653,,,,,,,,,,,,,157.59250918304977,,,157.59250918304977,,,22.92829101272492,dwarf_local_field_distant
cena_dw1329-45,202.29166666666663,-45.17527777777777,dw1329-45,ngc_5128,1,1,0.165,,,,,,,,,,Muller2017A&A...597A...7M,27.31,0.11,0.07,Muller2019A&A...629A..18M,18.34,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21166666666666664,0.0135,0.0135,0.55,0.07,0.09,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-8.969999999999999,,,5.821029995663981,2897.3435877013217,143.11488436315813,94.92104890686733,309.8774540461499,17.18705585297359,-2744.3297973138897,890.6715259740148,-264.4958630832986,2892.375856054173,3665.5224704408756,3280.935009190369,794.4367503775742,,,,,,,,,,,,,139.06250920906615,,,139.06250920906615,,,25.316663467483867,dwarf_local_field_distant
cena_dw1330-32,202.725,-32.30583333333333,dw1330-32,ngc_5128,0,0,0.157,,,,,,,,,,Muller2015A&A...583A..79M,27.83,0.03,0.03,Tully2009AJ....138..323T,17.81,,,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188,0.0105,0.0105,1.59,0.11,0.13,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,-10.02,,,6.241029995663982,3681.289736425313,50.50918872430293,51.21184153189324,312.54129018118886,29.828518529142897,-3182.250382720621,1849.5594421193891,-65.62389238535032,3676.531693699986,4440.721866573841,4060.1878397678756,690.5756726260386,,,,,,,,,,,,,168.12247299029772,,,168.12247299029772,,,24.678742008618276,dwarf_local_field_distant
cena_dw1330-33,202.51666666666665,-33.835,dw1330-33,ngc_5128,0,0,0.105,,,,,,,,,,Muller2015A&A...583A..79M,27.83,0.03,0.03,Tully2009AJ....138..323T,18.9,,,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12333333333333334,0.009666666666666665,0.009666666666666665,1.32,0.12,0.15,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,-8.93,,,5.805029995663982,3681.289736425313,50.50918872430293,51.21184153189324,312.04228326665486,28.35247672778344,-3225.696616760762,1770.7131724470055,-106.53788552042202,3676.508933804615,4443.626127209101,4061.7761812382814,592.0871968312407,,,,,,,,,,,,,112.4385965858679,,,112.4385965858679,,,24.89519024275622,dwarf_local_field_distant
cena_dw1330-34,202.5083333333333,-34.00388888888889,dw1330-34,ngc_5128,0,0,0.17866666666666667,,,,,,,,,,Muller2015A&A...583A..79M,27.83,0.03,0.03,Tully2009AJ....138..323T,17.68,,,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13499999999999998,0.014833333333333334,0.014833333333333334,0.95,0.07,0.08,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,-10.149999999999999,,,6.293029995663981,3681.289736425313,50.50918872430293,51.21184153189324,312.0020522717988,28.18720175965513,-3230.4919732028598,1761.7186751369632,-110.28619249881258,3676.505232188067,4443.8973383687435,4061.9245280498717,581.2754680560116,,,,,,,,,,,,,191.32408815881016,,,191.32408815881016,,,24.829461420992207,dwarf_local_field_distant
cena_dw1330-38,202.6708333333333,-38.1675,dw1330-38,ngc_5128,0,0,0.335,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,18.48,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19683333333333333,0.09033333333333333,0.09033333333333333,0.98,0.3,0.79,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-9.349999999999998,,,5.973029995663981,3681.289736425313,50.50918872430293,51.21184153189324,311.3688944810326,24.06046477330998,-3343.0223940947967,1530.4282356857034,-184.07827548889605,3676.3939672361344,4448.329626154354,4064.3494118841572,317.84758010752455,,,,,,,,,,,,,358.732665297769,,,358.732665297769,,,26.99446777639256,dwarf_local_field_distant
cena_dw1331-40,202.85833333333332,-40.26305555555555,dw1331-40,ngc_5128,0,0,0.17333333333333334,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,19.49,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2185,0.0615,0.0615,0.7,0.21,0.48,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-8.34,,,5.569029995663982,3681.289736425313,50.50918872430293,51.21184153189324,311.1457884312457,21.96994107260573,-3393.830961893667,1409.619849280265,-216.2808500938588,3676.3393726285312,4449.161213175299,4064.8044777522996,190.773901337763,,,,,,,,,,,,,185.6129213480994,,,185.6129213480994,,,26.573654190817326,dwarf_local_field_distant
cena_dw1335-29,203.9454167,-29.70622222,dw1335-29,m_083,1,1,0.45,0.11666666666666667,0.08333333333333333,19.0,17.0,8.0,0.4,0.22,0.14,,Carrillo2017MNRAS.465.5026C,28.5,0.1,0.3,Carrillo2017MNRAS.465.5026C,18.5,0.4,0.4,Carrillo2017MNRAS.465.5026C,706.0,17.8,17.8,,,,,Muller2025arXiv250420765M,,,,,,,,-1.49,0.13,0.13,,,,,Muller2025arXiv250420765M,,,,,,,,27.0,7.0,5.0,0.61,0.26,0.13,Carrillo2017MNRAS.465.5026C,,,,,-1.3,0.4,0.3,Carrillo2017MNRAS.465.5026C,,,,,,,,,,,,,,-10.0,0.4,0.4,6.233029995663982,5011.872336272725,225.5714130463448,742.5270370988419,314.31291959654607,32.183660022565945,-4235.737129432125,2678.1769199697424,69.01935081745165,5007.074605433355,5762.728814245086,5386.37803951297,117.19357627809846,,,-1.49,0.13,0.13,spectroscopic,569.0380168027798,493.86637454568086,,,,,646.1002237648195,150.8843329753845,164.3512022156633,491.0830494428811,138.29578568754187,147.62904921305295,27.026387875026916,dwarf_local_field_distant
cena_dw1336-44,204.1833333333333,-44.447222222222216,dw1336-44,ngc_5128,1,1,0.1345,,,81.0,,,0.33,,,,Muller2017A&A...597A...7M,27.72,0.19,0.15,Muller2019A&A...629A..18M,18.42,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18766666666666665,0.006,0.006,0.41,0.03,0.04,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-9.299999999999997,,,5.9530299956639805,3499.4516702835695,293.18234577810836,250.2783521712645,311.39227860713163,17.679166354884376,-3316.049740825287,1094.5012446761198,-228.1296438988602,3494.3406495069157,4265.288123928673,3881.8297271469605,239.37274212636535,,,,,,,,,,,,,136.9141711231019,,,112.0690790111101,,,24.51804217578364,dwarf_local_field_distant
cena_dw1337-33,204.25833333333333,-33.52361111111111,dw1337-33,ngc_5128,0,0,0.4251666666666667,,,,,,,,,,Muller2015A&A...583A..79M,27.83,0.03,0.03,Tully2009AJ....138..323T,16.76,,,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2998333333333333,0.05733333333333333,0.05733333333333333,0.84,0.08,0.1,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,-11.069999999999997,,,6.661029995663981,3681.289736425313,50.50918872430293,51.21184153189324,313.7264923237446,28.390616932127916,-3231.982117752614,1762.3974742203045,-11.868314941185902,3676.3565628009273,4440.438997983059,4060.0331616560543,626.2219404980171,,,,,,,,,,,,,455.28707919134763,,,455.28707919134763,,,25.79203977814109,dwarf_local_field_distant
cena_dw1337-41,204.47916666666666,-41.903055555555554,dw1337-41,ngc_5128,0,0,0.305,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,18.31,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4698333333333333,0.0405,0.0405,0.49,0.1,0.18,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-9.52,,,6.0410299956639815,3681.289736425313,50.50918872430293,51.21184153189324,312.119620738694,20.138013257631314,-3441.7366630436627,1294.5175713367441,-174.83455971809855,3676.180905166678,4447.139714560154,4063.6983233743517,163.78261630516462,,,,,,,,,,,,,326.607351987521,,,326.607351987521,,,26.62074293911821,dwarf_local_field_distant
cena_dw1340-30,205.07916666666662,-30.359722222222224,dw1340-30,m_083,1,1,0.28099999999999997,,,,,,,,,,Muller2015A&A...583A..79M,28.52,0.03,0.03,Muller2018A&A...615A..96M,17.73,0.3,0.3,Muller2018A&A...615A..96M,429.3,21.6,21.6,,,,,Muller2025arXiv250420765M,,,,,,,,-1.71,0.19,0.19,,,,,Muller2025arXiv250420765M,,,,,,,,0.316,0.030166666666666668,0.030166666666666668,1.23,0.13,0.18,Muller2015A&A...583A..79M,,,,,-2.27,0.4,0.4,Muller2018A&A...615A..96M,,,,,,,,,,,,,,-10.79,0.3,0.3,6.5490299956639815,5058.246620031137,69.40174543102148,70.36721988251156,315.27876368648515,31.3374492478866,-4317.467560325404,2632.047115278732,132.89363245498572,5053.321636381218,5808.577917626824,5432.479245727816,177.3455400812999,,,-1.71,0.19,0.19,spectroscopic,293.5674950744283,218.62740403678862,,,,,413.45898781957374,,,413.45898781957374,,,25.862775342771055,dwarf_local_field_distant
cena_dw1341-29,205.33416666666665,-29.5675,dw1341-29,ngc_5264,1,1,,,,,,,,,,,,28.45,,,Muller2024A&A...684L...6M,19.65,,,Muller2024A&A...684L...6M,483.4,20.6,20.6,,,,,Muller2025arXiv250420765M,,,,,,,,-2.21,0.13,0.13,,,,,Muller2025arXiv250420765M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8,,,5.753029995663982,4897.788193684456,,,315.74012340232827,32.06018009194148,-4149.152228738845,2596.989895450046,168.84447244915012,4892.862753038509,5645.805245383057,5270.753621367096,115.38025189199831,,,-2.21,0.13,0.13,spectroscopic,350.0929968586984,275.49029584950017,,,,,,,,,,,,dwarf_local_field_distant
cena_dw1341-33,205.30416666666665,-33.825,dw1341-33,ngc_5128,0,0,0.5905,,,,,,,,,,Muller2015A&A...583A..79M,27.83,0.03,0.03,Tully2009AJ....138..323T,16.94,,,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08133333333333333,0.094,0.094,0.37,0.06,0.11,Muller2015A&A...583A..79M,,,,,,,,,,,,,,,,,,,,,,-10.889999999999997,,,6.589029995663981,3681.289736425313,50.50918872430293,51.21184153189324,314.620652083801,27.91438319646404,-3249.22043104623,1730.1045029432344,34.628353666079185,3676.254075031938,4439.1388561906015,4059.3222673574037,621.9439742993704,,,,,,,,,,,,,632.3332503233809,,,632.3332503233809,,,26.685343236473194,dwarf_local_field_distant
cena_dw1341-43,205.40417,-43.855,dw1341-43,ngc_5128,1,1,0.33666666666666667,,,0.3,,,0.08,,,,Muller2017A&A...597A...7M,27.74,0.03,0.0,Muller2019A&A...629A..18M,17.66,0.03,0.0,Muller2017A&A...597A...7M,636.4,14.1,14.1,,,,,Muller2021A&A...645A..92M,,,,,,,,-1.79,0.33,0.03,,,,,Muller2021A&A...645A..92M,,,,,,,,0.3561666666666667,0.018333333333333333,0.018333333333333333,0.46,0.08,0.15,Muller2017A&A...597A...7M,10.0,,,Muller2021A&A...645A..92M,,,,,,,,,,,,,,,,,,-10.079999999999998,0.03,0.0,6.265029995663981,3531.8316979195697,48.458547559453564,0.0,312.4156773423324,18.09078496401581,-3344.6949232692214,1121.968268227329,-167.4461638183453,3526.6297071003128,4296.091113462071,3913.348380606539,243.07024370040682,,,-1.79,0.33,0.03,spectroscopic,474.7309318644187,398.05983005573705,,,,,345.8806259586013,,,331.75704185507914,,,26.094713905373915,dwarf_local_field_distant
cena_dw1342-43,205.68249999999998,-43.25586111111111,dw1342-43,ngc_5128,1,1,0.2583333333333333,,,67.4,,,0.28,,,,Muller2017A&A...597A...7M,27.31,0.22,0.01,Muller2019A&A...629A..18M,17.54,0.22,0.01,Muller2017A&A...597A...7M,510.3,8.1,8.1,,,,,Muller2021A&A...645A..92M,,,,,,,,-1.69,0.19,0.13,,,,,Muller2021A&A...645A..92M,,,,,,,,0.2115,0.014666666666666666,0.014666666666666666,0.72,0.05,0.07,Muller2017A&A...597A...7M,12.2,1.8,1.8,Muller2021A&A...645A..92M,,,,,,,,,,,,,,,,,,-9.77,0.22,0.01,6.141029995663981,2897.3435877013217,279.1605794823354,13.373530365286115,312.75363873628345,18.63555220548244,-2736.5303968188705,944.5355734924335,-117.70217877179469,2892.1257601339735,3661.7845645378407,3278.8475063974793,804.3084519657123,,,-1.69,0.19,0.13,spectroscopic,350.20017403605607,273.61311301216466,,,,,217.724130579851,,,184.7450509931496,,,25.13347722515027,dwarf_local_field_distant
cena_dw1343-34,205.95416666666662,-34.93527777777778,dw1343-34,ngc_5128,0,0,0.31499999999999995,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,18.84,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4236666666666667,0.058666666666666666,0.058666666666666666,0.54,0.12,0.24,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-8.989999999999998,,,5.829029995663981,3681.289736425313,50.50918872430293,51.21184153189324,314.9327961719338,26.712900752277427,-3285.4118261258473,1660.1502908407722,43.17717086673779,3676.171009221497,4439.64516795183,4059.5991001144703,566.6756907033666,,,,,,,,,,,,,337.3157897576036,,,337.3157897576036,,,27.22079651095255,dwarf_local_field_distant
cena_dw1357-28,209.24999999999997,-28.920833333333334,dw1357-28,ngc_5128,0,0,0.26,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,18.45,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35483333333333333,0.0295,0.0295,0.35,0.11,0.3,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-9.379999999999999,,,5.985029995663981,3681.289736425313,50.50918872430293,51.21184153189324,319.8250263880418,31.791152817772684,-3126.1288055016603,1912.8530002340763,346.707678626503,3676.0201313636717,4420.611228062966,4049.2008054356374,989.8875659215654,,,,,,,,,,,,,278.41938202214914,,,278.41938202214914,,,26.414110483795575,dwarf_local_field_distant
cena_dw1401-32,210.35416666666666,-32.629444444444445,dw1401-32,ngc_5128,0,0,0.28,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,17.38,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28583333333333333,0.020666666666666667,0.020666666666666667,0.73,0.07,0.09,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-10.45,,,6.413029995663981,3681.289736425313,50.50918872430293,51.21184153189324,319.5895673132182,27.96865574025159,-3248.891571292837,1702.1283436663025,315.20911024350045,3675.832700262735,4426.478794997797,4052.404353556076,805.5573897017997,,,,,,,,,,,,,299.8362575623145,,,299.8362575623145,,,25.505033899991105,dwarf_local_field_distant
cena_dw1403-33,210.825,-33.403888888888886,dw1403-33,ngc_5128,0,0,0.31333333333333335,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,17.63,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39783333333333337,0.021333333333333333,0.021333333333333333,0.49,0.07,0.11,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-10.2,,,6.313029995663982,3681.289736425313,50.50918872430293,51.21184153189324,319.7465425008532,27.11060423986715,-3274.0024046712574,1652.4461431752952,319.7250719324998,3675.7769766186693,4426.805888168287,4052.582989125568,778.0081249694921,,,,,,,,,,,,,335.5310501292566,,,335.5310501292566,,,25.999276736468858,dwarf_local_field_distant
cena_dw1406-29,211.6708333333333,-29.13611111111111,dw1406-29,ngc_5128,0,0,0.3516666666666667,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,18.07,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27366666666666667,0.04183333333333333,0.04183333333333333,0.59,0.15,0.32,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-9.759999999999998,,,6.137029995663981,3681.289736425313,50.50918872430293,51.21184153189324,322.0980870081831,30.919859335775953,-3147.3832741627925,1851.4370898055038,466.96183090607605,3675.796604496712,4415.101857754889,4046.194389108655,1034.627837877177,,,,,,,,,,,,,376.5800615812401,,,376.5800615812401,,,26.689899765077637,dwarf_local_field_distant
cena_dw1409-33,212.26249999999996,-33.82777777777778,dw1409-33,ngc_5128,0,0,0.3333333333333333,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,17.93,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3025,0.05533333333333333,0.05533333333333333,0.68,0.2,0.43,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-9.899999999999999,,,6.193029995663981,3681.289736425313,50.50918872430293,51.21184153189324,320.86519412210856,26.326817672896414,-3293.3252198709,1600.5528834657318,379.6492946156319,3675.647882260736,4423.961368592741,4051.029691262335,802.7392127748512,,,,,,,,,,,,,356.9479256694219,,,356.9479256694219,,,26.433637467678242,dwarf_local_field_distant
cena_dw1410-34,212.6958333333333,-34.868611111111115,dw1410-34,ngc_5128,0,0,0.295,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,16.97,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04833333333333333,0.0395,0.0395,1.83,0.36,0.62,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-10.86,,,6.577029995663981,3681.289736425313,50.50918872430293,51.21184153189324,320.85640910150806,25.22624397738139,-3324.0488608564588,1537.114147933473,373.99651117618544,3675.595889890365,4424.604696607202,4051.380956552893,768.2556095204151,,,,,,,,,,,,,315.8989142174384,,,315.8989142174384,,,25.20835382264257,dwarf_local_field_distant
cena_dw1413-34,213.2833333333333,-34.3925,dw1413-34,ngc_5128,0,0,0.17666666666666667,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,19.06,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17149999999999999,0.016666666666666666,0.016666666666666666,0.63,0.11,0.15,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-8.77,,,5.741029995663982,3681.289736425313,50.50918872430293,51.21184153189324,321.5383537772266,25.510292869403653,-3313.6047113894374,1549.213456268074,414.5547094003123,3675.5545342425644,4422.257855934826,4050.0996525801183,811.5772672014479,,,,,,,,,,,,,189.1824006047936,,,189.1824006047936,,,26.18501682057583,dwarf_local_field_distant
cena_dw1415-32,213.9208333333333,-32.572500000000005,dw1415-32,ngc_5128,0,0,0.15333333333333332,,,,,,,,,,Muller2017A&A...597A...7M,27.83,0.03,0.03,Tully2009AJ....138..323T,17.8,,,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08183333333333334,0.016833333333333332,0.016833333333333332,1.18,0.14,0.17,Muller2017A&A...597A...7M,,,,,,,,,,,,,,,,,,,,,,-10.029999999999998,,,6.24502999566398,3681.289736425313,50.50918872430293,51.21184153189324,322.80701678361356,27.027185344713498,-3264.506297612085,1628.4563524161986,492.97328998303055,3675.5307675826566,4417.048156157839,4047.256295746525,920.9249190616904,,,,,,,,,,,,,164.19604580793404,,,164.19604580793404,,,24.61742663145135,dwarf_local_field_distant
cena_ucd-fluffy,199.545362,-44.157251,Fluffy,ngc_5128,1,0,0.02765,,,,,,,,,,Dumont2022ApJ...929..147D,27.83,0.03,0.03,Tully2009AJ....138..323T,18.24,,,Dumont2022ApJ...929..147D,764.3,2.42,2.42,5.89,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.79,0.39,0.39,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.59,,,6.069029995663982,3681.289736425313,50.50918872430293,51.21184153189324,307.9836233594966,18.452019299894197,-3445.276182510007,1220.7787874784576,-437.79595907480876,3676.5540679724722,4452.591459635786,4066.681955689523,112.16951484179025,,,-1.79,0.39,0.39,spectroscopic,590.6668322545952,512.3280533386885,955289.0308674021,,,,29.60883043427854,,,29.60883043427854,,,21.33771942623854,dwarf_local_field_distant
cena_ucd-kv19-212,200.790847,-43.874459,KV19-212,ngc_5128,1,0,0.004541666666666667,,,,,,,,,,Dumont2022ApJ...929..147D,27.83,0.03,0.03,Tully2009AJ....138..323T,17.58,,,Dumont2022ApJ...929..147D,571.5,2.42,2.42,18.84,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.03,0.33,0.33,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.25,,,6.333029995663981,3681.289736425313,50.50918872430293,51.21184153189324,308.95718384937703,18.625816016765594,-3450.9433728513104,1224.7912836224496,-377.84953678206523,3676.456371881936,4451.478015093346,4066.0724704957306,61.38458570478137,,,-1.03,0.33,0.33,spectroscopic,400.69105060908817,322.65911039780065,1605410.5731978943,,,,4.863415487245874,,,4.863415487245874,,,16.755320029225608,dwarf_local_field_distant
cena_ucd-kv19-271,201.296298,-43.509212,KV19-271,ngc_5128,1,0,0.00369,,,,,,,,,,Dumont2022ApJ...929..147D,27.83,0.03,0.03,Tully2009AJ....138..323T,17.5,,,Dumont2022ApJ...929..147D,548.3,2.42,2.42,21.41,,,,Dumont2022ApJ...929..147D,,,,,,,,-0.42,0.32,0.32,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.329999999999998,,,6.365029995663981,3681.289736425313,50.50918872430293,51.21184153189324,309.39136975685443,18.938867124396637,-3448.2984949505285,1240.7388836817788,-348.85331552437634,3676.420176823498,4451.0630902968105,4065.8453615434296,31.833557208326926,,,-0.42,0.32,0.32,spectroscopic,379.03668941027576,301.1276149539983,1684491.2775603512,,,,3.9514135371604997,,,3.9514135371604997,,,16.22437557887625,dwarf_local_field_distant
cena_ucd-kv19-329,201.672201,-42.703936,KV19-329,ngc_5128,1,0,0.0037833333333333334,,,,,,,,,,Dumont2022ApJ...929..147D,27.83,0.03,0.03,Tully2009AJ....138..323T,17.66,,,Dumont2022ApJ...929..147D,657.3,2.42,2.42,20.18,,,,Dumont2022ApJ...929..147D,,,,,,,,-0.71,0.34,0.34,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.169999999999998,,,6.301029995663981,3681.289736425313,50.50918872430293,51.21184153189324,309.7999522208241,19.697230623367687,-3435.6790543417824,1283.4990339003243,-317.228291683479,3676.4007012087736,4450.837698987619,4065.721997029577,24.613534518467677,,,-0.71,0.34,0.34,spectroscopic,490.04680417906735,412.22509142762397,1534355.5068812114,,,,4.051358956347938,,,4.051358956347938,,,16.438616782128296,dwarf_local_field_distant
