# %ECSV 1.0
# ---
# datatype:
# - name: Target
#   datatype: string
#   description: Target identification; Galaxy-ID number
#   meta: !!omap
#   - {ucd: ID_MAIN}
#   - {_votable_string_dtype: char}
# - name: Field
#   datatype: string
#   description: Field and spectrograph channel (B=blue, R=red)
#   meta: !!omap
#   - {ucd: ID_FIELD}
#   - {_votable_string_dtype: char}
# - name: HJD
#   unit: d
#   datatype: float64
#   format: '{:8.3f}'
#   description: Heliocentric Julian Date minus 2450000 of obs.
#   meta: !!omap
#   - {ucd: TIME_DATE}
#   - {width: 8}
#   - {precision: '3'}
# - name: HV
#   unit: km / s
#   datatype: float32
#   format: '{:6.1f}'
#   description: Heliocentric rest frame velocity
#   meta: !!omap
#   - {ucd: VELOC_HC}
#   - {width: 6}
#   - {precision: '1'}
# - name: e_HV
#   unit: km / s
#   datatype: float32
#   format: '{:4.1f}'
#   description: Uncertainty in HV
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 4}
#   - {precision: '1'}
# - name: SigFe
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? The {Sigma}Fe spectral index ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: e_SigFe
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? Uncertainty in SigFe ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: SigMg
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? The {Sigma}Mg spectral index ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: e_SigMg
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? Uncertainty in SigMg ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: Mmb
#   datatype: float32
#   format: '{:6.3f}'
#   description: '? Probability membership'
#   meta: !!omap
#   - {ucd: CODE_MEMB}
#   - {width: 6}
#   - {precision: '3'}
#   - values: {'null': .nan}
# meta: !!omap
# - {ID: J_AJ_137_3100_tables}
# - {name: J/AJ/137/3100/tables}
# - {description: Combined table from original tables}
# schema: astropy-2.0
Target Field HJD HV e_HV SigFe e_SigFe SigMg e_SigMg Mmb
For-2378 47B 4684.845 59.7 0.5 "" "" 0.54 0.08 0.994
For-2379 47B 4684.845 47.5 1.0 "" "" 0.55 0.1 0.992
For-2380 47B 4684.845 51.7 0.5 "" "" 0.63 0.07 0.994
For-2381 47B 4684.845 33.8 1.2 "" "" 0.39 0.1 0.929
For-2382 47B 4684.845 39.6 0.3 "" "" 0.59 0.05 0.986
For-2383 47B 4684.845 49.0 0.4 "" "" 0.45 0.06 0.99
For-2384 47B 4684.845 55.0 3.5 "" "" 0.55 0.08 0.994
For-2385 47B 4684.845 48.5 0.5 "" "" 0.41 0.07 0.985
For-2386 47B 4684.845 48.3 0.4 "" "" 0.68 0.05 0.993
For-2387 47B 4684.845 57.9 0.7 "" "" 0.53 0.05 0.994
For-2388 47B 4684.845 61.6 0.8 "" "" 0.58 0.07 0.994
For-2389 47B 4684.845 45.0 0.4 "" "" 0.6 0.05 0.992
For-2390 47B 4684.845 90.8 2.1 "" "" 0.51 0.06 0.77
For-2391 47B 4684.845 65.6 0.6 "" "" 0.58 0.06 0.993
For-2392 47B 4684.845 34.1 0.5 "" "" 0.6 0.08 0.969
For-2393 47B 4684.845 27.4 0.6 "" "" 0.47 0.07 0.869
For-2394 47R 4684.845 67.4 2.7 0.2 0.15 0.1 0.09 0.638
For-2395 47R 4684.845 47.8 2.4 0.48 0.06 0.55 0.13 0.992
For-2395 38R 4685.849 43.7 2.3 0.33 0.06 0.66 0.11 ""
For-2396 47R 4684.845 66.8 1.0 0.48 0.03 0.54 0.1 0.993
For-2396 38R 4685.849 62.4 1.1 0.48 0.03 0.71 0.09 ""
For-2397 47R 4684.845 38.1 1.0 0.42 0.02 0.64 0.09 0.982
For-2397 38R 4685.849 38.5 1.0 0.39 0.03 0.69 0.09 ""
For-2398 47R 4684.845 45.2 0.9 0.43 0.02 0.56 0.08 0.991
For-2398 38R 4685.849 45.1 1.3 0.41 0.04 0.54 0.1 ""
For-2399 47R 4684.845 40.7 1.2 0.36 0.04 0.47 0.09 0.978
For-2399 38R 4685.849 40.1 1.2 0.41 0.03 0.43 0.1 ""
For-2400 47R 4684.845 54.7 0.9 0.43 0.03 0.58 0.09 0.994
For-2401 47R 4684.845 52.8 10.6 0.33 0.11 0.05 0.25 0.966
For-2402 47R 4684.845 51.6 1.0 0.44 0.03 0.65 0.09 0.994
For-2402 38R 4685.849 50.9 1.1 0.45 0.03 0.66 0.1 ""
For-2403 47R 4684.845 97.2 1.5 0.34 0.04 0.81 0.1 0.323
For-2403 38R 4685.849 89.3 4.0 0.2 0.09 0.77 0.11 ""
For-2404 47R 4684.845 56.0 3.4 0.36 0.08 0.56 0.14 0.994
For-2405 47R 4684.845 50.1 1.0 0.44 0.04 0.77 0.1 0.992
For-2406 47R 4684.845 20.8 7.8 0.41 0.06 0.13 0.16 0.451
For-2407 47R 4684.845 55.0 5.7 0.31 0.07 0.28 0.14 0.977
For-2408 47R 4684.845 66.8 6.4 0.43 0.08 0.68 0.13 0.991
For-2409 47R 4684.845 74.0 2.5 0.39 0.04 0.33 0.11 0.96
For-2410 47R 4684.845 86.3 1.0 0.41 0.02 0.56 0.09 0.91
For-2411 47R 4684.845 50.8 1.0 0.38 0.03 0.59 0.09 0.995
For-2412 47R 4684.845 53.1 1.4 0.42 0.07 0.7 0.12 0.993
For-2413 47R 4684.845 67.6 2.4 0.35 0.05 0.47 0.11 0.988
For-2414 47R 4684.845 60.5 1.0 0.44 0.03 0.67 0.09 0.994
For-2415 47R 4684.845 50.3 1.6 0.35 0.06 0.51 0.11 0.992
For-2416 47R 4684.845 77.6 1.9 0.45 0.06 0.36 0.14 0.946
For-2417 47R 4684.845 108.3 9.5 "" "" 0.4 0.33 0.15
For-2418 47R 4684.845 75.9 3.6 0.41 0.05 0.29 0.13 0.939
For-2419 47R 4684.845 58.2 6.5 0.15 0.15 0.52 0.15 0.991
For-2420 47R 4684.845 54.5 4.7 0.34 0.08 0.5 0.16 0.991
For-2421 47R 4684.845 44.0 2.5 0.26 0.06 0.76 0.1 0.987
For-2422 47R 4684.845 7.1 2.3 0.28 0.05 0.68 0.1 0.044
For-2423 47R 4684.845 57.7 2.8 0.37 0.1 0.59 0.13 0.993
For-2424 47R 4684.845 45.8 3.8 0.39 0.09 0.32 0.19 0.981
For-2425 47R 4684.845 41.1 1.0 0.45 0.02 0.56 0.09 0.988
For-2426 47R 4684.845 72.2 1.3 0.37 0.03 0.43 0.1 0.977
For-2427 47R 4684.845 74.3 6.2 0.41 0.11 0.45 0.21 0.978
For-2428 47R 4684.845 64.3 1.6 0.43 0.04 0.53 0.1 0.992
For-2429 47R 4684.845 69.2 6.0 0.5 0.07 0.04 0.24 0.955
For-2430 47R 4684.845 65.1 1.3 0.37 0.05 0.51 0.11 0.992
For-2431 47R 4684.845 45.5 1.0 0.47 0.04 0.68 0.1 0.992
For-2432 47R 4684.845 96.1 2.9 0.37 0.07 0.6 0.12 0.492
For-2433 47R 4684.845 58.5 2.6 0.42 0.07 0.55 0.13 0.993
For-2434 47R 4684.845 -42.6 9.1 0.31 0.15 0.33 0.22 0.0
For-2435 47R 4684.845 41.8 1.2 0.42 0.03 0.39 0.09 0.973
For-2436 47R 4684.845 72.2 9.0 0.37 0.1 0.1 0.23 0.955
For-2437 47R 4684.845 -114.4 4.3 "" "" 0.89 0.22 0.0
For-2438 47R 4684.845 53.0 1.1 0.42 0.05 0.64 0.11 0.994
For-2439 47R 4684.845 29.3 1.8 0.43 0.08 0.54 0.14 0.917
For-2440 47R 4684.845 34.1 1.6 0.36 0.04 0.33 0.1 0.895
For-2441 47R 4684.845 55.3 2.0 0.34 0.05 0.59 0.1 0.994
For-2442 47R 4684.845 62.6 1.0 0.43 0.03 0.68 0.09 0.993
For-2443 47R 4684.845 48.2 1.2 0.45 0.03 0.53 0.09 0.992
For-2444 47R 4684.845 72.3 1.6 0.4 0.03 0.41 0.09 0.977
For-2445 47R 4684.845 60.6 1.8 0.4 0.04 0.62 0.1 0.995
For-2446 47R 4684.845 42.1 0.9 0.47 0.03 0.63 0.1 0.99
For-2447 47R 4684.845 49.2 3.0 0.42 0.04 0.39 0.12 0.986
For-2448 47R 4684.845 72.0 1.3 0.33 0.04 0.37 0.09 0.968
For-2449 47R 4684.845 66.2 1.0 0.43 0.04 0.44 0.1 0.987
For-2450 47R 4684.845 71.3 1.1 0.31 0.04 0.35 0.1 0.936
For-2450 38R 4685.849 73.7 2.7 0.34 0.04 0.28 0.1 ""
For-2451 47R 4684.845 61.4 1.1 0.33 0.06 0.72 0.11 0.993
For-2452 47R 4684.845 67.2 1.0 0.4 0.04 0.51 0.1 0.989
For-2453 47R 4684.845 59.7 4.3 0.44 0.05 0.34 0.12 0.982
For-2454 47R 4684.845 68.0 4.5 0.38 0.05 0.33 0.12 0.974
For-2455 47R 4684.845 45.3 9.3 0.35 0.05 0.02 0.1 0.406
For-2456 47R 4684.845 72.7 5.0 0.64 0.13 0.56 0.26 0.963
For-2457 47R 4684.845 57.6 1.0 0.42 0.04 0.39 0.11 0.975
For-2458 47R 4684.845 -5.8 8.0 0.24 0.08 0.83 0.11 0.005
For-2459 47R 4684.845 61.9 10.8 0.35 0.08 0.18 0.16 0.916
For-2460 47R 4684.845 53.5 2.7 0.45 0.08 0.54 0.16 0.985
For-2461 47R 4684.845 29.7 1.6 0.32 0.04 0.83 0.1 0.883
For-2462 47R 4684.845 12.5 1.9 0.4 0.05 0.49 0.11 0.085
For-2463 47R 4684.845 54.6 9.2 0.29 0.07 0.38 0.12 0.984
For-2464 47R 4684.845 39.5 1.4 0.38 0.04 0.43 0.1 0.973
For-2465 47R 4684.845 59.1 0.9 0.42 0.03 0.63 0.09 0.994
For-2466 47R 4684.845 64.5 1.1 0.36 0.04 0.41 0.1 0.986
For-2467 47R 4684.845 61.3 1.0 0.37 0.03 0.41 0.09 0.987
For-2468 47R 4684.845 22.9 2.3 0.36 0.03 0.67 0.09 0.793
For-2469 47R 4684.845 63.7 0.9 0.45 0.02 0.59 0.09 0.993
For-2470 47R 4684.845 62.4 1.0 0.44 0.03 0.61 0.09 0.994
For-2471 47R 4684.845 62.4 1.0 0.39 0.04 0.54 0.09 0.993
For-2472 38B 4685.849 38.1 3.5 "" "" -0.15 0.3 0.907
For-2473 38B 4685.849 35.8 0.7 "" "" 0.47 0.09 0.935
For-2474 38B 4685.849 70.1 1.7 "" "" 0.84 0.06 0.944
For-2474 41B 4686.837 73.6 0.8 "" "" 0.76 0.07 ""
For-2475 38B 4685.849 65.8 1.1 "" "" 0.34 0.11 0.977
For-2476 38B 4685.849 64.3 1.0 "" "" 0.41 0.08 0.986
For-2477 38B 4685.849 40.7 1.3 "" "" 0.65 0.11 0.972
For-2478 38B 4685.849 50.5 2.4 "" "" 0.47 0.12 0.982
For-2479 38B 4685.849 57.5 1.5 "" "" 0.39 0.24 0.989
For-2480 38B 4685.849 51.8 4.3 "" "" 0.43 0.25 0.989
For-2481 38B 4685.849 -15.9 2.2 "" "" 0.79 0.1 0.0
For-2482 38B 4685.849 63.1 0.5 "" "" 0.94 0.07 0.953
For-2483 38B 4685.849 45.1 1.4 "" "" 0.56 0.13 0.99
For-2484 38B 4685.849 66.2 0.8 "" "" 0.63 0.07 0.993
For-2485 38B 4685.849 68.9 0.6 "" "" 0.66 0.06 0.991
For-2486 38B 4685.849 27.3 4.6 "" "" 0.63 0.22 0.902
For-2487 38B 4685.849 88.2 2.7 "" "" 0.07 0.17 0.396
For-2488 38B 4685.849 62.0 0.7 "" "" 0.72 0.09 0.993
For-2489 38B 4685.849 67.0 2.2 "" "" 0.38 0.16 0.984
For-2490 38B 4685.849 173.1 3.0 "" "" 0.86 0.09 0.0
For-2491 38B 4685.849 55.8 1.1 "" "" 0.63 0.1 0.988
For-2492 38B 4685.849 45.1 1.9 "" "" 0.4 0.16 0.984
For-2493 38B 4685.849 45.9 0.5 "" "" 0.75 0.08 0.989
For-2494 38B 4685.849 45.2 3.8 "" "" 0.4 0.47 0.968
For-2495 38B 4685.849 54.3 1.0 "" "" 0.37 0.12 0.987
For-2496 38B 4685.849 38.5 2.0 "" "" 0.63 0.16 0.979
For-2497 38B 4685.849 49.3 0.8 "" "" 0.29 0.1 0.966
For-2498 38B 4685.849 56.5 0.8 "" "" 0.47 0.09 0.992
For-2499 38B 4685.849 50.8 0.6 "" "" 0.83 0.09 0.988
For-2500 38B 4685.849 95.6 2.6 "" "" 0.89 0.07 0.234
For-2501 38B 4685.849 46.0 0.7 "" "" 0.41 0.07 0.984
For-2502 38B 4685.849 49.3 0.4 "" "" 0.63 0.06 0.994
For-2503 38B 4685.849 58.6 0.7 "" "" 0.4 0.06 0.986
For-2504 38B 4685.849 58.5 0.6 "" "" 0.57 0.05 0.995
For-2505 38B 4685.849 47.9 3.5 "" "" 0.08 0.11 0.741
For-2506 38B 4685.849 48.8 0.8 "" "" 0.65 0.07 0.993
For-2507 38B 4685.849 25.7 1.0 "" "" 0.3 0.07 0.529
For-2508 38B 4685.849 52.8 1.1 "" "" 0.37 0.06 0.983
For-2509 38B 4685.849 48.3 1.0 "" "" 0.36 0.07 0.978
For-2510 38B 4685.849 50.7 1.0 "" "" 0.48 0.07 0.992
For-2511 38B 4685.849 51.7 0.7 "" "" 0.59 0.07 0.994
For-2512 38B 4685.849 58.4 0.9 "" "" 0.45 0.07 0.99
For-2513 38B 4685.849 50.8 0.8 "" "" 0.68 0.05 0.994
For-2514 38B 4685.849 48.8 1.7 "" "" 0.49 0.17 0.981
For-2515 38B 4685.849 60.0 0.8 "" "" 0.65 0.13 0.987
For-2516 38B 4685.849 67.3 0.7 "" "" 0.58 0.14 0.99
For-2517 38B 4685.849 121.4 4.0 "" "" 0.22 0.11 0.0
For-2518 38B 4685.849 43.9 1.5 "" "" 0.48 0.15 0.986
For-2519 38B 4685.849 54.5 0.4 "" "" 0.73 0.05 0.993
For-2520 38B 4685.849 34.3 1.9 "" "" 0.19 0.16 0.857
For-2521 38B 4685.849 22.1 2.9 "" "" 0.05 0.17 0.233
For-2522 38B 4685.849 64.8 0.8 "" "" 0.52 0.06 0.993
For-2523 38B 4685.849 54.1 1.9 "" "" 0.56 0.14 0.994
For-2524 38B 4685.849 42.7 1.4 "" "" 0.32 0.13 0.972
For-2525 38B 4685.849 41.7 1.2 "" "" 0.39 0.07 0.975
For-2526 38B 4685.849 56.4 0.9 "" "" 0.51 0.09 0.993
For-2527 38B 4685.849 66.0 0.5 "" "" 0.51 0.05 0.991
For-2528 38B 4685.849 57.7 0.6 "" "" 0.59 0.07 0.994
For-2529 38B 4685.849 50.0 0.7 "" "" 0.74 0.08 0.993
For-2530 38B 4685.849 40.5 0.5 "" "" 0.62 0.06 0.989
For-2531 38B 4685.849 49.0 0.4 "" "" 0.64 0.04 0.995
For-2532 38B 4685.849 33.2 0.7 "" "" 0.45 0.07 0.951
For-2533 38B 4685.849 71.5 0.5 "" "" 0.61 0.06 0.989
For-2534 38B 4685.849 53.6 0.5 "" "" 0.59 0.05 0.995
For-2535 38B 4685.849 65.8 0.6 "" "" 0.42 0.05 0.984
For-2536 38B 4685.849 57.5 1.1 "" "" 0.44 0.1 0.99
For-2537 38B 4685.849 46.0 1.0 "" "" 0.55 0.1 0.991
For-2538 38B 4685.849 55.0 1.5 "" "" 0.58 0.2 0.992
For-2539 38B 4685.849 50.1 1.2 "" "" 0.21 0.28 0.984
For-2540 38B 4685.849 159.2 2.3 "" "" 1.02 0.21 0.0
For-2541 38B 4685.849 68.1 2.5 "" "" 0.31 0.23 0.981
For-2542 38B 4685.849 55.6 0.6 "" "" 0.66 0.11 0.994
For-2543 38B 4685.849 52.5 1.2 "" "" 0.44 0.13 0.992
For-2544 38B 4685.849 59.7 1.7 "" "" 0.47 0.15 0.992
For-2545 38B 4685.849 58.8 0.8 "" "" 0.65 0.07 0.995
For-2546 38B 4685.849 60.1 1.2 "" "" 0.46 0.12 0.992
For-2547 38B 4685.849 43.8 0.6 "" "" 0.8 0.07 0.985
For-2548 38B 4685.849 57.6 1.8 "" "" 0.71 0.13 0.994
For-2549 38B 4685.849 64.3 0.8 "" "" 0.41 0.08 0.986
For-2550 38B 4685.849 51.0 0.9 "" "" 0.26 0.1 0.964
For-2551 38B 4685.849 59.3 1.7 "" "" 0.31 0.1 0.978
For-2552 38B 4685.849 46.1 0.4 "" "" 0.82 0.06 0.983
For-2553 38B 4685.849 82.2 2.0 "" "" 0.05 0.08 0.079
For-2554 38B 4685.849 61.1 0.4 "" "" 0.65 0.07 0.994
For-2555 38B 4685.849 58.5 0.5 "" "" 0.39 0.06 0.985
For-2556 38R 4685.849 68.3 1.1 0.4 0.03 0.64 0.09 0.981
For-2556 41B 4686.837 67.5 0.3 "" "" 0.71 0.03 ""
For-2557 38R 4685.849 59.4 1.2 0.46 0.03 0.5 0.09 0.985
For-2558 38R 4685.849 152.5 7.5 0.33 0.03 0.21 0.09 0.0
For-2559 38R 4685.849 57.9 1.1 0.38 0.03 0.47 0.09 0.992
For-2560 38R 4685.849 35.9 2.7 0.35 0.03 0.43 0.09 0.959
For-2561 38R 4685.849 67.1 1.6 0.44 0.04 0.73 0.1 0.99
For-2562 38R 4685.849 53.6 2.1 0.58 0.04 0.51 0.13 0.993
For-2563 38R 4685.849 51.1 2.0 0.43 0.03 0.44 0.09 0.99
For-2564 38R 4685.849 57.6 0.9 0.45 0.02 0.67 0.09 0.994
For-2565 38R 4685.849 36.6 1.8 0.5 0.03 0.62 0.09 0.978
For-2566 38R 4685.849 56.8 0.9 0.41 0.03 0.77 0.09 0.992
For-2567 38R 4685.849 44.1 4.1 0.35 0.04 0.23 0.1 0.923
For-2568 38R 4685.849 53.3 1.7 0.39 0.05 0.71 0.1 0.993
For-2569 38R 4685.849 43.1 1.1 0.38 0.03 0.41 0.09 0.98
For-2570 38R 4685.849 -174.1 8.9 0.31 0.04 0.12 0.11 0.0
For-2571 38R 4685.849 54.7 3.1 0.33 0.05 0.4 0.12 0.989
For-2572 38R 4685.849 58.0 1.0 0.38 0.03 0.46 0.09 0.992
For-2573 38R 4685.849 47.8 1.0 0.46 0.02 0.65 0.09 0.993
For-2574 38R 4685.849 20.7 1.0 0.48 0.03 0.49 0.1 0.613
For-2575 38R 4685.849 51.4 1.8 0.4 0.07 0.38 0.15 0.988
For-2576 38R 4685.849 67.3 1.2 0.4 0.04 0.59 0.1 0.991
For-2577 38R 4685.849 72.3 1.5 0.44 0.05 0.66 0.11 0.986
For-2578 38R 4685.849 66.4 2.0 0.35 0.05 0.43 0.12 0.987
For-2579 41B 4686.837 41.6 3.7 "" "" -0.03 0.06 0.003
For-2580 41B 4686.837 63.4 0.6 "" "" 0.4 0.07 0.947
For-2581 41B 4686.837 50.9 0.6 "" "" 0.43 0.09 0.964
For-2582 41B 4686.837 48.2 0.7 "" "" 0.4 0.08 0.951
For-2583 41B 4686.837 43.8 0.4 "" "" 1.0 0.03 0.394
For-2584 41B 4686.837 113.8 1.9 "" "" 0.96 0.05 0.0
For-2585 41B 4686.837 45.2 0.7 "" "" 0.53 0.08 0.967
For-2586 41B 4686.837 43.5 1.3 "" "" 0.34 0.07 0.874
For-2587 41B 4686.837 48.9 1.1 "" "" 0.48 0.04 0.969
For-2588 41B 4686.837 44.1 0.5 "" "" 0.67 0.06 0.968
For-2589 41B 4686.837 -2.7 1.2 "" "" 0.8 0.07 0.0
For-2590 41B 4686.837 50.4 0.5 "" "" 0.45 0.05 0.966
For-2591 41B 4686.837 51.7 0.6 "" "" 0.42 0.07 0.96
For-2592 41B 4686.837 89.0 0.4 "" "" 0.65 0.04 0.616
For-2593 41B 4686.837 17.6 1.5 "" "" 0.82 0.04 0.098
For-2594 41B 4686.837 33.4 1.4 "" "" 0.79 0.04 0.802
For-2595 41B 4686.837 22.4 0.6 "" "" 0.88 0.03 0.147
For-2596 41B 4686.837 51.7 0.3 "" "" 0.7 0.02 0.979
For-2597 41B 4686.837 63.2 0.4 "" "" 0.4 0.04 0.945
For-2598 41B 4686.837 41.4 0.4 "" "" 0.59 0.03 0.963
For-2599 41B 4686.837 65.2 0.7 "" "" 0.43 0.06 0.973
For-2600 41B 4686.837 41.5 0.5 "" "" 0.7 0.05 0.987
For-2601 41B 4686.837 52.6 0.4 "" "" 0.6 0.05 0.995
For-2602 41B 4686.837 48.8 0.5 "" "" 0.59 0.07 0.994
For-2603 41B 4686.837 50.2 0.5 "" "" 0.62 0.04 0.994
For-2604 41B 4686.837 -26.0 4.7 "" "" 0.12 0.08 0.0
For-2605 41B 4686.837 54.3 0.5 "" "" 0.47 0.07 0.984
For-2606 41B 4686.837 53.6 0.7 "" "" 0.71 0.06 0.987
For-2607 41B 4686.837 72.1 0.7 "" "" 0.55 0.06 0.974
For-2608 41B 4686.837 41.6 0.4 "" "" 0.67 0.03 0.977
For-2609 41B 4686.837 56.5 0.3 "" "" 0.74 0.03 0.985
For-2610 41B 4686.837 54.1 0.4 "" "" 0.55 0.03 0.989
For-2611 41B 4686.837 60.0 0.4 "" "" 0.53 0.06 0.987
For-2612 41B 4686.837 57.9 0.9 "" "" 0.33 0.08 0.951
For-2613 41B 4686.837 59.3 0.3 "" "" 0.65 0.04 0.989
For-2614 41B 4686.837 50.8 0.4 "" "" 0.65 0.04 0.981
For-2615 41B 4686.837 46.4 0.8 "" "" 0.36 0.06 0.947
For-2616 41B 4686.837 57.4 0.9 "" "" 0.62 0.07 0.981
For-2617 41B 4686.837 65.9 0.4 "" "" 0.73 0.03 0.981
For-2618 41B 4686.837 70.6 0.4 "" "" 0.71 0.05 0.976
For-2619 41B 4686.837 70.3 0.3 "" "" 0.63 0.03 0.981
For-2620 41B 4686.837 63.7 0.4 "" "" 0.53 0.05 0.986
For-2621 41B 4686.837 47.8 0.8 "" "" 0.43 0.05 0.974
For-2622 41B 4686.837 58.8 1.0 "" "" 0.43 0.07 0.979
For-2623 41B 4686.837 27.7 1.3 "" "" 0.41 0.1 0.717
For-2624 41B 4686.837 45.9 0.3 "" "" 0.7 0.02 0.983
For-2625 41B 4686.837 47.8 0.4 "" "" 0.71 0.05 0.984
For-2626 41B 4686.837 48.9 0.3 "" "" 0.86 0.03 0.94
For-2627 41B 4686.837 85.3 0.6 "" "" 0.33 0.06 0.539
For-2628 41B 4686.837 55.2 1.7 "" "" 0.22 0.09 0.883
For-2629 41B 4686.837 151.7 3.9 "" "" 0.18 0.12 0.0
For-2630 41B 4686.837 46.2 0.4 "" "" 0.79 0.02 0.97
For-2631 41B 4686.837 56.9 0.4 "" "" 0.58 0.05 0.99
For-2632 41B 4686.837 46.5 0.5 "" "" 0.76 0.06 0.978
For-2633 41B 4686.837 91.7 0.5 "" "" 0.46 0.05 0.479
Scl-0001 20B 3286.629 114.1 1.9 0.36 0.02 0.43 0.04 0.998
Scl-0001 4B 3288.571 111.5 1.6 0.34 0.02 0.69 0.04 ""
Scl-0002 20B 3286.629 110.1 0.9 0.32 0.01 0.39 0.03 1.0
Scl-0002 4R 3288.571 111.5 2.6 0.27 0.03 0.42 0.08 ""
Scl-0003 20B 3286.629 118.4 2.8 0.42 0.04 0.53 0.06 1.0
Scl-0003 1B 4017.555 114.8 2.5 0.32 0.05 0.39 0.11 ""
Scl-0004 20B 3286.629 95.6 2.2 0.38 0.02 0.34 0.05 1.0
Scl-0004 4B 3288.571 104.5 2.0 0.3 0.02 0.32 0.05 ""
Scl-0004 1B 4017.555 104.6 0.8 0.36 0.03 0.36 0.07 ""
Scl-0005 20B 3286.629 115.5 2.1 0.43 0.02 0.33 0.04 1.0
Scl-0005 4R 3288.571 115.5 7.9 0.39 0.04 0.52 0.1 ""
Scl-0005 5R 3289.593 114.6 3.3 0.4 0.03 0.53 0.09 ""
Scl-0005 1B 4017.555 118.7 1.1 0.38 0.04 0.5 0.08 ""
Scl-0006 20B 3286.629 93.0 2.3 0.38 0.02 0.31 0.05 0.999
Scl-0006 4R 3288.571 100.7 10.1 0.15 0.08 0.37 0.14 ""
Scl-0007 20B 3286.629 118.6 2.0 0.29 0.04 0.63 0.05 0.991
Scl-0008 20B 3286.629 113.8 4.9 0.3 0.02 0.63 0.03 0.984
Scl-0008 1B 4017.555 102.7 1.5 0.33 0.04 0.39 0.08 ""
Scl-0009 20B 3286.629 95.7 0.8 0.39 0.01 0.42 0.03 0.999
Scl-0009 4R 3288.571 97.0 4.1 0.33 0.03 0.32 0.09 ""
Scl-0010 20B 3286.629 101.6 1.6 0.33 0.02 0.39 0.03 1.0
Scl-0010 4R 3288.571 101.9 5.1 0.4 0.03 0.59 0.09 ""
Scl-0011 20B 3286.629 112.6 4.8 0.34 0.03 0.51 0.05 1.0
Scl-0011 1B 4017.555 115.0 1.1 0.37 0.04 0.43 0.09 ""
Scl-0012 20B 3286.629 111.8 0.8 0.36 0.02 0.46 0.04 1.0
Scl-0012 5R 3289.593 112.4 11.2 0.3 0.04 0.48 0.1 ""
Scl-0012 1B 4017.555 111.0 0.5 0.39 0.03 0.39 0.06 ""
Scl-0013 20B 3286.629 118.5 3.6 0.28 0.03 0.46 0.04 1.0
Scl-0013 5B 3289.593 120.1 1.7 0.3 0.03 0.42 0.05 ""
Scl-0013 1B 4017.555 115.7 2.6 0.32 0.04 0.29 0.1 ""
Scl-0014 20B 3286.629 104.0 2.8 0.28 0.03 0.32 0.05 1.0
Scl-0015 20B 3286.629 105.0 2.6 0.32 0.02 0.4 0.04 1.0
Scl-0016 20B 3286.629 122.6 1.7 0.31 0.02 0.3 0.04 1.0
Scl-0017 20B 3286.629 106.1 1.9 0.42 0.02 0.38 0.04 1.0
Scl-0017 1B 4017.555 111.3 1.4 0.48 0.06 0.27 0.16 ""
Scl-0018 20B 3286.629 110.6 2.2 0.26 0.03 0.32 0.06 1.0
Scl-0018 5B 3289.593 116.3 3.5 0.33 0.03 0.54 0.06 ""
Scl-0019 20B 3286.629 123.9 1.1 0.37 0.02 0.3 0.04 1.0
Scl-0019 5R 3289.593 124.4 3.0 0.47 0.03 0.44 0.09 ""
Scl-0020 20B 3286.629 119.5 1.7 0.28 0.02 0.36 0.05 1.0
Scl-0021 20B 3286.629 115.6 2.1 0.33 0.02 0.23 0.04 1.0
Scl-0022 20B 3286.629 133.3 1.6 0.3 0.02 0.3 0.04 1.0
Scl-0022 1B 4017.555 133.5 0.9 0.31 0.02 0.37 0.05 ""
Scl-0023 20B 3286.629 112.2 4.6 0.17 0.03 0.3 0.06 1.0
Scl-0023 1R 4017.555 109.8 5.5 0.34 0.06 0.47 0.13 ""
Scl-0024 20B 3286.629 125.1 4.1 0.21 0.02 0.3 0.04 1.0
Scl-0025 20B 3286.629 100.5 1.7 0.33 0.02 0.27 0.05 1.0
Scl-0025 4B 3288.571 99.3 4.2 "" "" "" "" ""
Scl-0026 20B 3286.629 102.9 3.2 0.25 0.02 0.32 0.05 1.0
Scl-0026 1B 4017.555 106.8 1.3 0.35 0.03 0.37 0.07 ""
Scl-0027 20B 3286.629 117.5 2.0 0.36 0.02 0.46 0.04 1.0
Scl-0028 20B 3286.629 103.5 2.1 0.32 0.02 0.37 0.04 1.0
Scl-0028 4B 3288.571 103.6 2.3 0.36 0.03 0.65 0.07 ""
